team,year,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,won,lost,effi
ATL,2000,2876,6668,1374,1811,1028,2490,3518,1559,1863,634,1292,387,333,933,7459,25,57,96.51
BOS,2000,2773,6485,1621,2190,897,2367,3264,1708,1952,769,1238,336,592,1633,7759,36,46,99.61
CHA,2000,2800,6501,1599,2146,1033,2608,3641,1900,1753,665,1124,455,340,984,7539,46,36,100.04
CHI,2000,2721,6411,1410,1909,926,2260,3186,1810,1902,675,1197,379,329,950,7181,15,67,95.47
CLE,2000,2890,6532,1561,2040,1015,2440,3455,1708,1902,642,1297,436,220,659,7561,30,52,98.05
DAL,2000,3085,6716,1552,1954,831,2571,3402,1740,1907,618,1094,492,517,1357,8239,53,29,105.11
DEN,2000,2979,6877,1448,1964,1044,2583,3627,1970,1820,552,1092,538,512,1444,7918,40,42,101.65
DET,2000,2919,6880,1610,2233,1108,2626,3734,1629,1955,613,1265,447,389,1112,7837,32,50,97.72
GSW,2000,2937,7175,1428,2024,1345,2385,3730,1788,1727,742,1253,410,282,964,7584,17,65,95.11
HOU,2000,2943,6494,1582,2086,919,2524,3443,1613,1657,587,1136,358,504,1412,7972,45,37,104.5
IND,2000,2828,6431,1539,2009,921,2595,3516,1763,1925,563,1173,487,396,1159,7591,41,41,100.32
LAC,2000,2896,6467,1429,2061,962,2559,3521,1585,1775,490,1212,513,360,1063,7581,31,51,99.44
LAL,2000,3109,6685,1594,2333,1085,2583,3668,1888,1872,564,1137,490,439,1275,8251,56,26,106.28
MIA,2000,2694,6258,1423,1874,813,2435,3248,1630,1725,633,1076,304,478,1384,7289,50,32,99.23
MIL,2000,3112,6798,1474,1874,975,2500,3475,1844,1928,672,1082,386,562,1481,8260,52,30,106.86
MIN,2000,3148,6871,1364,1737,1002,2470,3472,2083,1899,682,1105,456,322,901,7982,47,35,103.15
NJN,2000,2781,6550,1629,2146,909,2337,3246,1603,1982,649,1139,407,361,1084,7552,26,56,97.77
NYK,2000,2755,6198,1374,1727,773,2524,3297,1520,1863,545,1132,346,391,1115,7275,48,34,99.43
ORL,2000,3013,6873,1476,2068,1069,2450,3519,1803,2071,674,1216,481,490,1346,7992,43,39,100.78
PHI,2000,2902,6487,1697,2277,1075,2600,3675,1692,1673,690,1231,408,262,803,7763,56,26,101.55
PHO,2000,2944,6757,1490,1973,970,2529,3499,1905,1864,775,1208,429,332,1054,7710,51,31,98.05
POR,2000,3004,6416,1447,1899,960,2481,3440,1963,1745,672,1211,419,369,1057,7824,50,32,104.28
SAC,2000,3132,6969,1600,2075,987,1718,3692,1852,1596,793,1178,432,479,1353,8343,55,27,103.34
SAS,2000,2884,6262,1673,2340,902,2712,3614,1778,1551,568,1099,576,445,1094,7886,58,24,105.31
SEA,2000,3029,6649,1454,1986,999,2422,3421,1792,1733,657,1201,409,466,1169,7978,44,38,103.28
TOR,2000,3048,6972,1482,1984,1118,2529,3647,2004,1745,599,1043,519,429,1164,8007,47,35,103.05
UTA,2000,2960,6289,1714,2280,943,2383,3326,2111,2108,661,1250,463,325,852,7959,53,29,104.73
VAN,2000,2870,6539,1457,1892,894,2431,3325,1899,1733,586,1237,359,325,947,7522,23,59,97.5
WAS,2000,2833,6453,1704,2245,1016,2370,3386,1647,1913,630,1321,383,275,848,7645,19,63,98.7
ATL,2001,2901,6610,1486,1942,955,2445,3400,1656,1702,667,1203,350,423,1194,7711,33,49,99.98
BOS,2001,2852,6731,1498,1960,891,2570,3461,1722,1775,793,1082,293,699,1946,7901,49,33,101.5
CHA,2001,2893,6580,1568,2105,1059,2505,3564,1759,1747,653,1108,456,346,994,7700,44,38,101.92
CHI,2001,2811,6491,1413,1958,924,2359,3283,1817,1834,633,1169,361,300,868,7335,21,61,96.54
CLE,2001,2948,6582,1529,1980,968,2483,3451,1891,1752,572,1129,470,387,1026,7812,29,53,102.6
DAL,2001,3200,6930,1608,1994,918,2568,3486,1811,1841,581,958,386,621,1645,8629,57,25,109.96
DEN,2001,2915,6870,1306,1756,1117,2310,3427,1817,1871,613,1130,462,423,1285,7559,27,55,98.74
DET,2001,2846,6301,1478,1954,810,2366,3176,1765,1695,648,1135,565,568,1510,7738,50,32,103.37
GSW,2001,2998,6989,1693,2344,1334,2493,3827,1706,1884,650,1325,523,320,994,8009,21,61,99.97
HOU,2001,2837,6629,1402,1893,1025,2411,3436,1482,1476,537,1074,445,496,1480,7572,28,54,100.81
IND,2001,2935,6580,1663,2155,930,2568,3498,1884,1876,658,1191,436,405,1195,7938,42,40,101.91
LAC,2001,2970,6668,1498,2026,1083,2474,3557,1714,1625,510,1150,540,408,1147,7846,39,43,102.88
LAL,2001,3150,6839,1494,2138,1022,2607,3629,1882,1823,625,995,478,510,1439,8304,58,24,107.11
MEM,2001,2851,6535,1334,1883,984,2413,3397,1785,1571,646,1290,488,336,1096,7372,23,59,96.12
MIA,2001,2801,6382,1236,1708,902,2544,3446,1664,1846,547,1153,448,312,899,7150,36,46,96.82
MIL,2001,3041,6577,1321,1767,841,2557,3398,1847,1788,596,1112,388,593,1583,7996,41,41,104.86
MIN,2001,3175,6887,1399,1754,1059,2562,3621,1993,1739,524,1069,427,396,1047,8145,50,32,106.21
NJN,2001,3042,6816,1402,1907,1039,2515,3554,1990,1734,716,1169,490,403,1194,7889,52,30,101.33
NYK,2001,2817,6520,1406,1786,876,2458,3334,1720,1800,558,1155,288,474,1344,7514,30,52,99.07
ORL,2001,3087,6893,1446,1917,942,2440,3382,1804,1700,665,1085,384,620,1660,8240,44,38,104.58
PHI,2001,2804,6436,1639,2104,1092,2534,3626,1638,1646,705,1176,363,214,715,7461,43,39,100.2
PHO,2001,3097,6934,1250,1630,1072,2430,3501,1837,1784,668,1167,400,358,1096,7802,36,46,100.72
POR,2001,3004,6671,1451,1901,1085,2444,3529,1926,1613,702,1117,368,466,1318,7925,49,33,105.11
SAC,2001,3267,7003,1618,2154,1013,2702,3715,1958,1560,741,1095,375,426,1160,8578,61,21,106.79
SAS,2001,2913,6363,1668,2249,907,2566,3473,1643,1575,625,1133,537,438,1211,7932,58,24,104.66
SEA,2001,3131,6681,1263,1672,968,2333,3301,1926,1732,698,1085,364,489,1292,8014,45,37,106.38
TOR,2001,2919,6727,1269,1717,1114,2336,3450,1779,1771,688,1109,454,387,1109,7494,42,40,100.22
UTA,2001,2869,6374,1853,2430,1109,2349,3458,1999,1971,749,1290,523,280,842,7871,44,38,103.24
WAS,2001,2938,6664,1428,1866,1055,2393,3448,1715,1763,570,999,354,305,786,7609,37,45,102.42
ATL,2002,2859,6434,1594,2011,937,2558,3495,1679,1783,611,1304,474,402,1141,7714,35,47,100.37
BOS,2002,2700,6509,1480,1994,849,2471,3320,1575,1758,720,1105,303,719,2155,7599,44,38,99.43
CHI,2002,2991,6714,1455,2014,985,2541,3526,1782,2028,605,1330,461,349,997,7786,30,52,98
CLE,2002,2850,6746,1502,2012,1118,2542,3660,1712,1864,636,1430,521,293,896,7495,17,65,94.36
DAL,2002,3161,6982,1486,1793,912,2544,3456,1837,1730,665,906,449,636,1668,8444,60,22,108.75
DEN,2002,2689,6544,1294,1850,1112,2363,3475,1737,2056,712,1425,422,229,824,6901,17,65,89.96
DET,2002,2700,6277,1559,2021,883,2445,3328,1620,1748,556,1043,468,533,1488,7492,50,32,102.26
GSW,2002,3061,6941,1853,2382,1284,2546,3830,1712,1786,594,1246,506,425,1235,8400,38,44,105.65
HOU,2002,2840,6461,1567,2042,1024,2564,3588,1506,1602,594,1198,493,439,1267,7686,43,39,102.02
IND,2002,2911,6608,1739,2271,1004,2622,3626,1910,1811,696,1150,443,379,1119,7940,48,34,102.41
LAC,2002,2835,6490,1633,2177,1008,2462,3470,1606,1784,574,1246,461,390,1177,7693,27,55,100.09
LAL,2002,3091,6856,1562,2129,1078,2554,3632,1909,1874,639,1152,470,486,1367,8230,50,32,104.62
MEM,2002,3049,6743,1430,1936,943,2466,3409,1892,1678,651,1214,500,467,1279,7995,28,54,101.64
MIA,2002,2688,6517,1292,1689,948,2464,3412,1501,1856,592,1097,324,348,1100,7016,25,57,94.69
MIL,2002,3045,6670,1483,1911,876,2367,3243,1823,1819,622,996,344,585,1526,8158,42,40,106.91
MIN,2002,3172,6809,1406,1826,959,2614,3573,2070,1704,553,1091,433,296,804,8046,51,31,103.89
NJN,2002,2906,6585,1662,2195,991,2528,3519,1887,1772,717,1184,374,346,1041,7820,49,33,100.98
NOH,2002,2914,6695,1467,1910,1097,2475,3572,1807,1767,656,1151,394,404,1075,7699,47,35,101.44
NYK,2002,2967,6725,1320,1620,842,2376,3218,1800,1888,579,1114,255,606,1582,7860,37,45,101.95
ORL,2002,2947,6763,1616,2079,958,2392,3350,1676,1888,696,1138,300,568,1590,8078,42,40,102.8
PHI,2002,2975,6640,1748,2255,1042,2415,3457,1771,1804,844,1157,284,245,787,7943,48,34,102.53
PHO,2002,3005,6776,1430,1928,1049,2440,3489,1719,1801,665,1165,404,394,1149,7834,44,38,101.21
POR,2002,2987,6491,1450,1947,992,2378,3370,1860,1634,725,1185,316,379,1150,7803,50,32,103.48
SAC,2002,3242,6990,1367,1832,900,2751,3651,2034,1666,735,1171,457,491,1288,8342,59,23,103.41
SAS,2002,2908,6297,1591,2194,939,2556,3495,1636,1672,629,1260,529,449,1270,7856,60,22,103.6
SEA,2002,2887,6599,1325,1780,963,2385,3348,1775,1713,679,1026,295,456,1291,7555,40,42,101.47
TOR,2002,2847,6664,1350,1879,1023,2355,3378,1583,1761,609,1106,392,409,1193,7453,24,58,98.41
UTA,2002,2894,6189,1750,2349,1021,2381,3402,2103,1837,708,1304,467,224,641,7762,47,35,103.42
WAS,2002,2816,6394,1617,2077,917,2395,3312,1612,1644,621,1035,390,253,811,7502,37,45,101.03
ATL,2003,2829,6529,1534,1976,997,2506,3503,1648,1826,627,1278,408,419,1248,7611,28,54,99.11
BOS,2003,2843,6415,1572,2095,851,2440,3291,1683,1837,770,1289,331,553,1599,7811,36,46,100.47
CHI,2003,2798,6753,1330,1834,1048,2519,3567,1793,1911,659,1249,394,429,1256,7355,23,59,94.77
CLE,2003,2922,6753,1528,2030,1118,2619,3737,1808,1742,585,1166,537,247,786,7619,35,47,99.02
DAL,2003,3322,7230,1475,1854,1174,2538,3712,1963,1609,656,965,437,507,1456,8626,52,30,110.07
DEN,2003,2993,6763,1655,2159,1083,2387,3470,1794,1804,745,1201,520,331,985,7972,43,39,101.8
DET,2003,2747,6315,1561,2074,1014,2492,3506,1702,1664,659,1179,570,333,969,7388,54,28,99.94
GSW,2003,2875,6511,1470,2028,1002,2533,3535,1681,1691,576,1154,389,429,1283,7649,37,45,101.24
HOU,2003,2738,6195,1371,1774,847,2647,3494,1579,1762,560,1295,443,515,1406,7362,45,37,99.17
IND,2003,2753,6322,1538,2014,965,2452,3417,1774,1709,726,1108,411,449,1281,7493,61,21,101.93
LAC,2003,2817,6579,1808,2302,1149,2416,3565,1653,1816,594,1281,376,329,1024,7771,28,54,100.61
LAL,2003,3028,6676,1631,2352,1001,2535,3536,1948,1732,682,1096,379,365,1115,8052,56,26,103.15
MEM,2003,2963,6657,1557,2143,1047,2381,3428,1915,1903,795,1180,565,447,1314,7930,50,32,102.55
MIA,2003,2729,6417,1459,1915,940,2459,3399,1565,1812,590,1076,313,485,1357,7402,42,40,100.09
MIL,2003,2970,6650,1698,2192,960,2502,3462,1872,1667,554,1066,383,401,1145,8039,41,41,104.13
MIN,2003,3033,6571,1361,1743,875,2645,3520,1890,1731,561,1004,462,326,897,7753,58,24,103.83
NJN,2003,2813,6372,1398,1856,862,2473,3335,2009,1722,709,1157,322,377,1123,7401,47,35,98.9
NOH,2003,2772,6605,1454,1937,1091,2418,3509,1716,1716,708,1155,346,531,1666,7529,41,41,100.1
NYK,2003,2881,6513,1374,1732,950,2543,3493,1695,1897,608,1253,391,406,1115,7542,39,43,99.52
ORL,2003,2904,6768,1474,2000,1003,2350,3353,1584,1744,547,1063,308,429,1248,7711,21,61,100.04
PHI,2003,2682,6260,1512,2009,941,2408,3349,1640,1701,654,1207,358,339,992,7215,33,49,97.37
PHO,2003,2958,6671,1392,1865,924,2406,3330,1586,1862,734,1203,383,415,1202,7723,29,53,99.39
POR,2003,2898,6467,1263,1728,1040,2376,3416,1768,1554,613,1134,444,381,1102,7440,41,41,101.62
SAC,2003,3103,6711,1626,2044,888,2492,3380,2152,1586,710,1107,325,601,1498,8433,55,27,107.71
SAS,2003,2842,6434,1409,2069,1028,2669,3697,1676,1667,661,1155,537,408,1140,7501,57,25,100.4
SEA,2003,2939,6590,1363,1782,907,2318,3225,1782,1783,661,1128,387,723,1936,7964,37,45,104.86
TOR,2003,2654,6348,1237,1650,830,2419,3249,1574,1748,604,1090,401,461,1294,7006,33,49,95.53
UTA,2003,2690,6171,1639,2197,1103,2272,3375,1671,2095,583,1255,494,252,786,7271,42,40,99.74
WAS,2003,2758,6556,1579,2211,1115,2392,3507,1537,1712,733,1371,406,433,1269,7528,25,57,96.7
ATL,2004,2942,6672,1417,1994,1100,2335,3435,1614,2009,629,1319,344,304,973,7605,13,69,97.9
BOS,2004,3046,6511,1775,2323,909,2438,3347,1810,2000,667,1297,423,437,1252,8304,45,37,104.83
CHI,2004,2849,6592,1536,2048,1001,2591,3592,1743,2028,576,1371,369,511,1433,7745,47,35,98.5
CHR,2004,2961,6859,1487,2096,1083,2335,3418,1794,1893,695,1192,440,320,881,7729,18,64,97.96
CLE,2004,2990,6687,1634,2174,1117,2352,3469,1851,1850,654,1141,461,300,904,7914,42,40,103.21
DAL,2004,3058,6691,1826,2314,990,2530,3520,1610,1827,708,1102,461,463,1273,8405,58,24,107.46
DEN,2004,3038,6615,1765,2313,967,2473,3440,1958,1878,750,1224,489,320,940,8161,49,33,103.44
DET,2004,2851,6421,1588,2150,1054,2507,3561,1787,1638,576,1133,497,363,1053,7653,54,28,102.78
GSW,2004,3029,7039,1412,1955,1069,2436,3505,1811,1833,642,1112,420,624,1774,8094,34,48,101.91
HOU,2004,2846,6419,1551,1986,874,2601,3475,1733,1806,563,1135,378,553,1521,7796,51,31,103.21
IND,2004,2668,6169,1748,2206,868,2418,3286,1489,1889,615,1173,357,542,1575,7626,44,38,102.44
LAC,2004,2924,6368,1770,2274,980,2455,3435,1901,1819,599,1290,422,231,669,7849,37,45,102.22
LAL,2004,2895,6629,1661,2137,1028,2511,3539,1672,1793,508,1176,344,644,1814,8095,34,48,104.89
MEM,2004,2802,6271,1526,2024,887,2307,3194,1716,1910,699,1197,476,531,1486,7661,45,37,102.54
MIA,2004,3097,6368,1658,2466,887,2639,3526,1790,1814,528,1127,474,475,1260,8327,59,23,108.24
MIL,2004,2964,6580,1720,2229,985,2405,3390,1720,1797,529,1132,289,325,925,7973,30,52,103.44
MIN,2004,3045,6629,1449,1820,947,2580,3527,1918,1774,460,1079,447,395,1145,7934,44,38,104.92
NJN,2004,2753,6419,1555,2039,855,2387,3242,1772,1984,650,1163,308,435,1203,7496,42,40,98.32
NOH,2004,2718,6555,1401,1830,1019,2281,3300,1724,1883,550,1217,310,415,1316,7252,18,64,95.95
NYK,2004,2978,6599,1580,2060,965,2393,3358,1665,1942,629,1204,260,441,1240,7977,33,49,103
ORL,2004,3034,6679,1772,2335,1038,2544,3582,1583,1937,633,1322,441,320,916,8160,36,46,102.12
PHI,2004,2946,6736,1731,2194,909,2536,3445,1710,1878,756,1274,321,505,1453,8128,43,39,100.76
PHO,2004,3351,7018,1556,2080,967,2652,3619,1927,1563,572,1125,453,796,2026,9054,62,20,111.9
POR,2004,2896,6422,1409,1944,970,2404,3374,1722,1702,583,1307,544,420,1161,7621,27,55,100.09
SAC,2004,3203,6978,1577,2004,1023,2455,3478,2005,1684,674,1073,316,522,1396,8505,50,32,107.53
SAS,2004,2923,6450,1535,2120,987,2489,3476,1771,1716,613,1126,543,507,1395,7888,59,23,104.87
SEA,2004,2882,6498,1683,2131,1041,2311,3352,1487,1943,553,1113,338,666,1824,8113,52,30,108.06
TOR,2004,2952,6656,1626,2101,844,2444,3288,1670,1875,621,1087,317,648,1681,8178,33,49,104.53
UTA,2004,2828,6301,1719,2272,1047,2243,3290,1826,2189,541,1292,374,250,762,7625,26,56,101.05
WAS,2004,2966,6794,1795,2476,1133,2374,3507,1563,1806,716,1173,347,514,1498,8241,45,37,104.01
ATL,2005,2946,6496,1656,2207,851,2450,3301,1625,2054,587,1284,394,424,1154,7972,26,56,100.91
